2025-12-25 11:08:43 [INFO    ]: Starting TShark worker. (main.py:112)
2025-12-25 11:08:43 [INFO    ]: TShark process started successfully. (main.py:121)
2025-12-25 11:08:44 [INFO    ]: Flushing buffers... (main.py:90)
2025-12-25 11:08:45 [INFO    ]: Buffers flushed successfully. (main.py:97)
2025-12-25 11:08:45 [INFO    ]:          92033 function calls (91179 primitive calls) in 0.498 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      471    0.002    0.000    0.002    0.000 /usr/lib/python3.13/queue.py:266(_qsize)
      117    0.000    0.000    0.002    0.000 /usr/lib/python3.13/_collections_abc.py:808(get)
     2810    0.001    0.000    0.002    0.000 /usr/lib/python3.13/posixpath.py:42(_get_sep)
      234    0.001    0.000    0.002    0.000 /usr/lib/python3.13/tkinter/__init__.py:109(_cnfmerge)
        2    0.000    0.000    0.002    0.001 /usr/lib/python3.13/logging/__init__.py:1667(handle)
     1046    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
        2    0.000    0.000    0.002    0.001 /usr/lib/python3.13/logging/__init__.py:1721(callHandlers)
        4    0.000    0.000    0.002    0.000 /usr/lib/python3.13/logging/__init__.py:1011(handle)
        3    0.000    0.000    0.002    0.001 /usr/lib/python3.13/threading.py:641(wait)
        2    0.000    0.000    0.002    0.001 /usr/lib/python3.13/logging/__init__.py:1626(makeRecord)
        2    0.002    0.001    0.002    0.001 /usr/lib/python3.13/logging/__init__.py:298(__init__)
      117    0.001    0.000    0.002    0.000 /usr/lib/python3.13/subprocess.py:367(_text_encoding)
     7849    0.002    0.000    0.002    0.000 {built-in method posix.fspath}
       58    0.001    0.000    0.001    0.000 /home/kali/PycharmProjects/tShark/utils.py:125(parse_time_epoch)
      234    0.001    0.000    0.001    0.000 /usr/lib/python3.13/subprocess.py:1098(_translate_newlines)
        4    0.000    0.000    0.001    0.000 /usr/lib/python3.13/logging/__init__.py:1139(emit)
  882/150    0.010    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
     2749    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
      117    0.001    0.000    0.001    0.000 /usr/lib/python3.13/subprocess.py:1978(_handle_exitstatus)
        3    0.000    0.000    0.001    0.000 /home/kali/PycharmProjects/tShark/utils.py:58(lookup_vendor_db)
      592    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
       11    0.000    0.000    0.001    0.000 /usr/lib/python3.13/tkinter/ttk.py:1331(insert)
      117    0.001    0.000    0.001    0.000 {method 'createcommand' of '_tkinter.tkapp' objects}
       58    0.001    0.000    0.001    0.000 /home/kali/PycharmProjects/tShark/utils.py:135(decode_wlan_type_subtype)
     2605    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      117    0.000    0.000    0.001    0.000 {built-in method builtins.sum}
     2634    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      234    0.001    0.000    0.001    0.000 /home/kali/.vscode/extensions/ms-python.debugpy-2025.18.0/bundled/libs/debugpy/_vendored/pydevd/_pydev_bundle/pydev_monkey.py:249(_get_str_type_compatible)
      117    0.001    0.000    0.001    0.000 {built-in method _locale.getencoding}
       66    0.000    0.000    0.001    0.000 /home/kali/PycharmProjects/tShark/utils.py:30(normalize_mac)
      117    0.000    0.000    0.001    0.000 /home/kali/.vscode/extensions/ms-python.debugpy-2025.18.0/bundled/libs/debugpy/_vendored/pydevd/_pydev_bundle/pydev_monkey.py:42(_get_apply_arg_patching)
      117    0.000    0.000    0.001    0.000 /usr/lib/python3.13/selectors.py:206(__exit__)
        3    0.001    0.000    0.001    0.000 {built-in method _sqlite3.connect}
      117    0.001    0.000    0.001    0.000 /home/kali/.vscode/extensions/ms-python.debugpy-2025.18.0/bundled/libs/debugpy/_vendored/pydevd/_pydev_bundle/pydev_monkey.py:294(remove_quotes_from_args)
      117    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
     1951    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      528    0.000    0.000    0.001    0.000 /usr/lib/python3.13/threading.py:318(_is_owned)
      117    0.001    0.000    0.001    0.000 /usr/lib/python3.13/warnings.py:488(__enter__)
       58    0.001    0.000    0.001    0.000 /home/kali/PycharmProjects/tShark/wifi_monitor.py:410(debug_status)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.13/logging/handlers.py:71(emit)
      117    0.001    0.000    0.001    0.000 /home/kali/PycharmProjects/tShark/wifi_monitor.py:326(<genexpr>)
      234    0.001    0.000    0.001    0.000 /usr/lib/python3.13/codecs.py:312(__init__)
      117    0.001    0.000    0.001    0.000 /usr/lib/python3.13/subprocess.py:1105(__exit__)
      117    0.000    0.000    0.001    0.000 /usr/lib/python3.13/abc.py:117(__instancecheck__)
      117    0.001    0.000    0.001    0.000 /usr/lib/python3.13/contextlib.py:108(__init__)
      117    0.001    0.000    0.001    0.000 /usr/lib/python3.13/selectors.py:272(close)
        1    0.000    0.000    0.001    0.001 /home/kali/PycharmProjects/tShark/wifi_monitor.py:299(add_text)
     2457    0.001    0.000    0.001    0.000 {method 'startswith' of 'bytes' objects}
      468    0.001    0.000    0.001    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
      759    0.001    0.000    0.001    0.000 {built-in method _tkinter._flatten}
     2457    0.001    0.000    0.001    0.000 {method 'endswith' of 'bytes' objects}
      117    0.000    0.000    0.001    0.000 /usr/lib/python3.13/contextlib.py:136(__enter__)
      417    0.000    0.000    0.001    0.000 /usr/lib/python3.13/threading.py:303(__enter__)
      351    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
      187    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
      234    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
       61    0.000    0.000    0.001    0.000 /usr/lib/python3.13/re/__init__.py:183(sub)
        4    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
